# comment
# comment
%m/%d/%Y %H:%M:%OS	%5.1f	%5.1f	%.3f	%.2f		%.2e		%d					%s
# comment
T POSIXct	X numeric, m	Y numeric, m	Z numeric, ft	Z numeric, ft	Z numeric, m		Logical	Integer, psia		Logical	Date character	Time character	Character
# comment
04/24/2009 10:43:38.275	7.8	-2.3	-0.870	998.28	-0.265	-2.62E-01	TRUE	1			8/20/2008	11:55:00 AM	
04/24/2009 11:20:43.757	5.0	-4.7	-1.243	998.12	-0.379	-3.70E-01	TRUE	14			8/20/2008	11:55:00 AM	A1
04/24/2009 12:08:31.895	2.2	-2.2	-2.362	997.65	-0.720	-6.59E-01	TRUE	6			8/20/2008	11:55:00 AM	A2
04/24/2009 12:50:59.417	3.7	-2.3	-2.438	997.61	-0.743	-6.77E-01	TRUE	3			8/20/2008	11:57:12 AM	A3
04/24/2009 13:50:55.678	NA	-3.4	-0.404	998.48	-0.123	-1.23E-01	FALSE	2			8/20/2008	11:57:12 AM	A1
04/24/2009 14:24:09.533	-1.6	2.6	0.141	998.72	0.043	4.30E-02	TRUE	8			8/20/2008	11:57:12 AM	
04/24/2009 14:44:55.005	-7.5	5.6	1.992	999.51	0.607	5.70E-01	FALSE	9			8/20/2008	11:57:12 AM	A1
04/24/2009 14:59:21.473	9.3	-6.0	1.221	999.18	0.372	3.63E-01	TRUE	12			8/20/2008	11:57:12 AM	
04/24/2009 15:20:20.801	-8.8	5.3	1.995	999.51	0.608	5.71E-01	TRUE	5			8/20/2008	11:57:12 AM	
04/24/2009 16:16:51.796	-2.0	1.0	NA	NA	     NA	2.90E-02	FALSE	4			8/20/2008	11:57:12 AM	A1
04/24/2009 17:01:41.536	5.0	1.8	NA	NA	     NA	2.90E-02	TRUE	5			8/20/2008	11:57:12 AM	
04/24/2009 17:56:59.076	-5.4	9.4	2.884	999.89	0.879	7.70E-01	TRUE	3			8/20/2008	11:57:12 AM	A3
04/24/2009 18:19:44.995	6.8	-4.0	-1.447	998.04	-0.441	-4.27E-01	TRUE	2			8/20/2008	11:57:12 AM	A3
04/24/2009 19:15:50.864	7.7	8.3	-0.495	998.44	-0.151	-1.50E-01	TRUE	9			8/20/2008	11:57:12 AM	A1
04/24/2009 19:45:25.363	-8.3	6.1	-0.384	998.49	-0.117	-1.17E-01	FALSE	8			8/20/2008	11:57:12 AM	
04/24/2009 19:53:34.840	-1.2	-3.2	0.095	998.70	0.029	2.90E-02	FALSE	7			8/20/2008	11:59:30 AM	A4
													
04/24/2009 20:45:22.943	0.8	-9.8	3.141593	999.63	0.697	6.42E-01	FALSE	6			8/20/2008	11:59:30 AM	
04/24/2009 21:39:07.240	-8.8	-1.0	2.339	999.66	0.713	6.54E-01	TRUE				8/20/2008	11:59:30 AM	
04/24/2009 22:30:37.251	-3.6	2.7	-0.643	998.38	-0.196	-1.95E-01	FALSE				8/20/2008	11:59:30 AM	A2
04/24/2009 22:21:15.071	7.5	-7.2	-0.653	998.38	-0.199	-1.98E-01	TRUE	8			8/20/2008	11:59:30 AM	A2
04/24/2009 23:18:40.804	4.9	2.4	-0.515	998.44	-0.157	-1.56E-01	TRUE	3			8/20/2008	11:59:30 AM	
04/24/2009 23:44:37.101	-0.9	0.0	-2.359	997.65	-0.719	-6.59E-01	TRUE	5			8/20/2008	11:59:30 AM	
04/24/2009 23:48:00.063	-7.2	-2.7	-2.802	997.46	-0.854	-7.54E-01	FALSE	6			8/20/2008	11:59:30 AM	
04/25/2009 00:09:51.962	-3.9	-9.9	0.915	999.05	0.279	2.75E-01	TRUE	7			8/20/2008	11:59:30 AM	A3
04/25/2009 00:42:30.875	-3.7	9.4	1.848	999.45	0.563	5.34E-01	TRUE	8			8/20/2008	11:59:30 AM	
04/25/2009 01:17:21.003	-5.4	2.2	0.945	999.06	0.288	2.84E-01	TRUE	1			8/20/2008	11:59:30 AM	
04/25/2009 02:12:06.381	-4.2	-1.5	-1.726	997.92	-0.526	-5.02E-01	TRUE	2			8/20/2008	11:59:30 AM	A2
04/25/2009 03:03:13.323	-0.3	5.7	-0.974	998.24	-0.297	-2.93E-01	TRUE	7			8/20/2008	12:01:42 PM	
04/25/2009 03:52:08.510	-7.8	-9.7	-2.707	997.50	-0.825	-7.35E-01	TRUE	6			8/20/2008	12:01:42 PM	
04/25/2009 04:05:20.077	2.4	9.4	0.453	998.85	0.138	1.38E-01	TRUE	5			8/20/2008	12:01:42 PM	
04/25/2009 04:10:15.859	9.3	-5.1	-0.778	998.32	-0.237	-2.35E-01	FALSE	4			8/20/2008	12:01:42 PM	
04/25/2009 04:58:51.691	-9.6	2.5	2.723	999.82	0.830	7.38E-01	TRUE	3			8/20/2008	12:01:42 PM	
04/25/2009 05:15:53.686	-7.0	3.6	-1.240	998.13	-0.378	-3.69E-01	TRUE	11			8/20/2008	12:01:42 PM	
04/25/2009 06:04:33.010	6.8	-1.5	-1.014	998.22	-0.309	-3.04E-01	TRUE	16			8/20/2008	12:01:42 PM	
04/25/2009 06:40:34.286	-7.9	-8.7	3.146	1000.00	0.959	8.19E-01	TRUE	3			8/20/2008	12:01:42 PM	
